Video,Video title,Country,Views,Watch time (hours),Subscribers gained
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,AU,38,0.0833,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,CA,51,0.15,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,DE,88,0.3,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,GB,75,0.2167,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,ID,57,0.1333,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,IN,58,0.1333,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,MX,23,0.1333,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,NL,31,0.1167,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,PH,37,0.1,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,PL,35,0.1167,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,SE,36,0.1167,0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,US,300,1.0167,0
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,IN,15,0.2667,0
Ahs_lvfVBuk,🔋 JavaScript Battery API,US,17,0.0333,0
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,ID,22,1.5,0
CpAreCzumtc,CSS Filters in 60 seconds (or less),US,0,0.0,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,DE,60,0.2833,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,GB,34,0.0667,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,IT,19,0.0667,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,NL,29,0.0667,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,NO,16,0.05,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,PL,27,0.1,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,SE,36,0.1667,0
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,US,146,0.4667,0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,DE,26,0.0833,0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,IN,27,0.1667,0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,NL,10,0.0333,0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,US,49,0.2,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,BR,23,0.0333,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,CA,48,0.1,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,DE,65,0.15,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,ES,21,0.0833,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,GB,32,0.05,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,IN,80,0.2,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,IT,30,0.1333,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,NL,30,0.1167,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,PH,27,0.0833,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,PL,30,0.0833,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,SE,37,0.05,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,TR,31,0.0667,0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,US,360,1.6333,0
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,US,29,0.1333,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,AU,20,0.0333,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,CA,30,0.05,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,DE,91,0.2333,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,GB,36,0.0667,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,ID,74,0.1167,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,IN,241,0.3,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,MY,0,0.0,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,PH,35,0.1,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,PL,42,0.0833,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,TR,38,0.05,0
UucfDJm1vSA,The easiest way to implement modals in HTML!,US,233,0.4667,0
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,US,48,0.1,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,DE,71,0.2167,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,FR,19,0.0333,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,GB,21,0.0667,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,NL,16,0.0667,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,US,149,0.3167,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,CA,14,0.0833,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,DE,33,0.3167,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,FR,13,0.1,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,GB,12,0.0667,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,ID,12,0.0667,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,IN,62,0.75,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,IT,15,0.0667,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,NL,10,0.0833,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,PH,12,0.0833,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,PL,10,0.0833,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,RU,16,0.1,0
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,US,282,2.05,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,CA,33,0.0667,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,DE,47,0.1,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,GB,18,0.05,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,ID,221,0.45,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,IN,177,0.4,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,PH,37,0.0667,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,RU,20,0.0167,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,TR,93,0.2,0
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,US,149,0.3667,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,AR,10,0.0833,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,AU,11,0.0667,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,BR,12,0.0333,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,CA,34,0.2833,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,DE,103,0.7667,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,ET,11,0.05,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,FR,28,0.15,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,GB,75,0.6,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,IL,13,0.1,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,IN,217,1.7167,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,IT,12,0.15,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,MX,11,0.1167,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,NL,22,0.1833,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,PL,41,0.3,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,RU,22,0.1667,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,SE,25,0.2,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,TR,0,0.0,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,US,847,10.1833,0
vHZFTaBGKRg,JavaScript keyboard events tutorial,US,22,0.0833,0
