Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers gained,Subscribers lost,Net subscribers,Likes,Dislikes,Comments added,Shares,Impressions,Impressions click-through rate (%),Average view duration,Average percentage viewed (%)
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,"Dec 11, 2024",48,4128,24.2167,8,0,8,52,0,1,9,0,0.0,00:00:30,63.82
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,"Nov 21, 2024",60,2903,26.8833,12,0,12,89,0,1,8,0,0.0,00:00:34,58.25
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,"Oct 03, 2025",55,2381,12.35,6,0,6,51,0,1,5,0,0.0,00:00:42,77.07
UucfDJm1vSA,The easiest way to implement modals in HTML!,"Sep 16, 2025",38,1973,5.1667,4,0,4,40,0,1,1,0,0.0,00:00:28,75.44
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,"Sep 10, 2025",1769,1682,110.6167,30,1,29,35,0,6,0,0,0.0,00:03:56,13.39
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,"Sep 13, 2025",66,1569,7.0,2,0,2,19,0,3,2,0,0.0,00:00:35,53.53
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,"Sep 13, 2025",54,1502,3.3833,3,0,3,9,0,0,2,0,0.0,00:00:20,37.72
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,"Jul 03, 2025",83,1211,4.7333,1,0,1,12,0,0,0,0,0.0,00:00:28,34.38
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,"Nov 14, 2024",575,1137,41.0667,15,1,14,20,0,0,17,0,0.0,00:02:10,22.62
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,"Oct 13, 2025",102,1101,6.05,0,0,0,12,0,2,3,0,0.0,00:00:34,33.83
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,"Nov 17, 2024",49,859,6.3833,1,0,1,21,0,3,0,0,0.0,00:00:27,55.66
QfhDxRUwlfg,Build a Fullstack App with React &amp; PostgreSQL From Scratch! - Part 1,"Jul 31, 2025",1069,538,35.7,15,0,15,24,0,4,3,0,0.0,00:03:58,22.35
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,"Aug 01, 2025",817,471,12.25,3,0,3,5,0,2,0,0,0.0,00:01:33,11.46
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,"Sep 30, 2025",994,453,24.0833,5,0,5,12,0,2,5,0,0.0,00:03:11,19.26
Qm_OGL5iv7U,RTK Query Tutorial will level up your API game!,"Dec 11, 2024",724,396,17.35,2,0,2,7,0,2,5,0,0.0,00:02:37,21.8
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,"Dec 24, 2024",57,346,2.6,0,0,0,9,0,0,0,0,0.0,00:00:38,67.56
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,"Sep 12, 2025",60,309,2.6,0,0,0,5,0,1,0,0,0.0,00:01:00,101.52
vHZFTaBGKRg,JavaScript keyboard events tutorial,"Jul 09, 2025",81,282,0.8,0,0,0,1,0,0,0,0,0.0,00:00:27,33.64
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,"Sep 22, 2025",777,279,8.6667,2,0,2,5,0,2,0,0,0.0,00:01:52,14.42
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,"Jul 31, 2025",1550,278,22.5667,3,0,3,7,0,0,1,0,0.0,00:04:52,18.87
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,"Aug 14, 2025",73,251,1.5,1,0,1,6,0,0,2,0,0.0,00:00:33,46.16
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,"Aug 13, 2025",1065,242,13.4667,2,0,2,3,0,4,4,0,0.0,00:03:20,18.82
CpAreCzumtc,CSS Filters in 60 seconds (or less),"Jul 05, 2025",44,81,0.15,0,0,0,1,0,0,0,0,0.0,00:00:26,60.3
UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,"Nov 07, 2024",260,42,0.4667,2,0,2,4,0,1,1,0,0.0,00:00:40,15.71
Ahs_lvfVBuk,🔋 JavaScript Battery API,"Jul 15, 2025",43,28,0.0667,0,0,0,1,0,0,0,0,0.0,00:00:13,30.58
Total,,,,24442,390.1168,117,2,115,450,0,36,68,0,0.0,,
