Video,Video title,Content type,Views,Watch time (hours),Avg % viewed,Subscribers gained
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,shorts,2381,12.35,77.07,6
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,videoOnDemand,453,24.0833,19.26,5
0dlsaJexaCY,TanStack Query tutorial CRUD with Hono - Part 4,videoOnDemand,242,13.4667,18.82,2
UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,videoOnDemand,42,0.4667,15.71,2
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,shorts,346,2.6,67.56,0
vHZFTaBGKRg,JavaScript keyboard events tutorial,shorts,282,0.8,33.64,0
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,shorts,1211,4.7333,34.38,1
CpAreCzumtc,CSS Filters in 60 seconds (or less),shorts,81,0.15,60.3,0
C3kqIx6kXd0,Build a TypeScript ToDo list app in 10 minutes!,videoOnDemand,1137,41.0667,22.62,15
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,shorts,1502,3.3833,37.72,3
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,shorts,1101,6.05,33.83,0
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,shorts,4128,24.2167,63.82,8
4eGBlWJEaqk,Adding React Hot Toast success and error alerts  - Part 6,videoOnDemand,279,8.6667,14.42,2
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,videoOnDemand,1682,110.6167,13.39,30
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,shorts,859,6.3833,55.66,1
Qm_OGL5iv7U,RTK Query Tutorial will level up your API game!,videoOnDemand,396,17.35,21.8,2
PqN6WlNQaZc,Building a Hono.js API in simple quick steps! - Part 3,videoOnDemand,471,12.25,11.46,3
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,shorts,309,2.6,101.52,0
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,shorts,2903,26.8833,58.25,12
LPRftFuqnA4,Create Beautiful React Interfaces with Shadcn - Part 2,videoOnDemand,278,22.5667,18.87,3
UucfDJm1vSA,The easiest way to implement modals in HTML!,shorts,1973,5.1667,75.44,4
QfhDxRUwlfg,Build a Fullstack App with React &amp; PostgreSQL From Scratch! - Part 1,videoOnDemand,538,35.7,22.35,15
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,shorts,251,1.5,46.16,1
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,shorts,1569,7.0,53.53,2
Ahs_lvfVBuk,🔋 JavaScript Battery API,shorts,28,0.0667,30.58,0
