Video,Video title,Age group,Gender,Viewer %
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,age25-34,male,100.0
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,age18-24,male,42.8
MgPMFo9z5wg,TypeScript&#39;s Partial: A Practical Guide,age25-34,male,57.2
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,age18-24,male,49.4
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,age25-34,male,33.5
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,age35-44,male,17.1
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,age18-24,male,36.7
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,age25-34,male,63.3
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,age18-24,male,27.8
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,age25-34,male,52.1
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,age35-44,male,15.5
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,age45-54,male,4.7
