Video,Video title,Search term,Views,Watch time (hours)
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,rtk query,464,3.1333
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,redux toolkit,320,1.4333
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,solidjs,119,0.95
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,rtk query redux toolkit,86,0.6333
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,memoization,71,1.0167
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,redux,63,0.2167
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,redux toolkit query,49,0.45
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,react redux toolkit,48,0.2833
H5u1dRpgLOk,htmx tutorial - fetch data with a GET request #htmx,htmx,44,0.5
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,tanstack router,41,1.95
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,box sizing property in css,39,0.3333
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,redux toolkit in react js,39,0.15
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,box sizing css,36,0.2667
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,hono rpc,36,2.55
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,gsap react,31,0.1833
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,hono,28,1.6667
7ira7OZdRMs,Hono RPC makes your app typesafe! - Part 5,hono js,25,2.0167
TROfOyOTH8w,Can SolidJS Make Your Code Cleaner?,solid js,25,0.1667
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,fizzbuzz,24,0.15
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,target redux,23,0.0
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,box sizing,18,0.15
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,queryselector javascript,16,0.05
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,uv package manager,15,0.1
4FDsGvLwjX4,CSS box-sizing property explained! #csstutorial,css box model explained,14,0.0833
LspCSUMTX60,Redux Toolkit Query: improve your data fetching and state handling!,redux in react js,14,0.0167
